assetId,namaFile,tipe,penjelasan,url,fileSize,hashChecksum,metadataJson,status,createdAt,updatedAt
"105","Pujangga Anom","FOTO","Pujannga Anom Photo","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20001429.png","208865","e706f736be90d9e099ff2a0e45c21b7768a9c4f1c68833c5e87c47393dc3a0d8","","ACTIVE","""2025-11-18T17:15:15.211Z""","""2025-11-18T17:15:15.211Z"""
"106","Klanasewandana","FOTO","Klanasewandana Photo","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20001615.png","229572","503c24e2158a639989dd86563e9ae44f29581cfe1da10ee1d95d7d81818846c8","","ACTIVE","""2025-11-18T17:17:01.663Z""","""2025-11-18T17:17:01.663Z"""
"107","Jathil","FOTO","Jathil Photo","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20001732.png","239004","002aa1fbce66aacbc5d4d5340d43c9cb1584872fc8ecbe62952a1dd27c27295c","","ACTIVE","""2025-11-18T17:17:56.745Z""","""2025-11-18T17:17:56.745Z"""
"108","Singobarong","FOTO","Singobarong Photo","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20001826.png","334621","1779a160aeb60d2c0185627a9169f58e39a01247a154fe4df05ff6d8084f2668","","ACTIVE","""2025-11-18T17:19:04.354Z""","""2025-11-18T17:19:04.354Z"""
"109","Selompret","FOTO","Selompret Photo","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20001952.png","333441","4c469b3cfd518575e29b4ed442f763851ca51eaa5b43af947816359f57b94877","","ACTIVE","""2025-11-18T17:20:31.953Z""","""2025-11-18T17:20:31.953Z"""
"110","Klanasewandana Mask","FOTO","Klanasewandana Mask Photo","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20002203.png","270182","d47d0879b586c32e1be355b0707183d2d27b7378ac98abe54ce4d7d3a4010e5a","","ACTIVE","""2025-11-18T17:22:14.024Z""","""2025-11-18T17:22:14.024Z"""
"111","Eblek","FOTO","Eblek Photo","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20002317.png","241377","0a6eabeedc08a456d615cb44cad40ebb337fc682daee46bc6804ea4cb95978cf","","ACTIVE","""2025-11-18T17:23:27.314Z""","""2025-11-18T17:23:27.314Z"""
"112","Pecut Smandiman","FOTO","Pecut Smandiman Photo","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20002454.png","203356","a3aedd70a93b09ca2692339b0cf356483c397424f928fb9e6d00d7084138a93e","","ACTIVE","""2025-11-18T17:25:05.949Z""","""2025-11-18T17:25:05.949Z"""
"113","Udheng gadhung mlati","FOTO","Udheng Gadhung Mlati","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20002534.png","231679","f62b544366a9ede8f7229ee1b2bdd52a96222bf9b0ee388058641358dfc8ba45","","ACTIVE","""2025-11-18T17:26:01.869Z""","""2025-11-18T17:26:01.869Z"""
"114","Reog Ponorogo","FOTO","Reog Ponorogo Photo","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20004717.png","250839","89715875c614283ab9fac9a3814c3b6d05099549b181f8742fcad69dbcd9ed69","","ACTIVE","""2025-11-18T17:47:28.681Z""","""2025-11-18T17:47:28.681Z"""
"115","Surabaya Arekan","FOTO","Foto Surabaya Arekan","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20012624.png","385608","4cf246c3353d986fddb9b46d0e47d772c1df4a5e64dabc5536f81978fd10911a","","ACTIVE","""2025-11-18T18:26:55.548Z""","""2025-11-18T18:26:55.548Z"""
"116","Madura Karapan Sapi","FOTO","Foto Madura Karapan Sapi","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20012809.png","342346","f40874aae45a05602033744ec2b189304f94313bb3678a78f5ee8364a6675769","","ACTIVE","""2025-11-18T18:28:48.023Z""","""2025-11-18T18:28:48.023Z"""
"117","Madura Kangean Tari Pesisir","FOTO","Foto Madura Kangean Tari Pesisir","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20013031.png","367946","720c461b76bcc6e703fc5130560ac772849b9b3f3bf124b11e7172356190fc17","","ACTIVE","""2025-11-18T18:30:42.035Z""","""2025-11-18T18:30:42.035Z"""
"118","Tari Mataraman ","FOTO","Foto Tari Mataraman ","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20013138.png","298035","2b815d7c0220ea4ac560fbd4610c49daf205aa8f64cfcb883267ae8678deabd0","","ACTIVE","""2025-11-18T18:32:10.510Z""","""2025-11-18T18:32:10.510Z"""
"119","Tari Osing","FOTO","Foto Tari Osing","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20013245.png","338845","4769203bfa10b2d0ae93ffbe4ef5e300dbcf66ede3efc315717102c72932f643","","ACTIVE","""2025-11-18T18:33:06.744Z""","""2025-11-18T18:33:06.744Z"""
"120","Festival Pandhalungan ","FOTO","Foto Festival Pandhalungan ","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20013349.png","313557","40d965c653c01a8debb795580e7fe0f88da77be97fd2afebb0f47738d125649a","","ACTIVE","""2025-11-18T18:34:18.333Z""","""2025-11-18T18:34:18.333Z"""
"121","Budaya Samin","FOTO","Foto Budaya Samin","https://lvto72edhymjnfcu.public.blob.vercel-storage.com/Cuplikan%20layar%202025-11-19%20013532.png","322337","eee3e226e1fafd851082e276fd005570561b1699ccde8c1f614c90a36a6686b6","","ACTIVE","""2025-11-18T18:35:44.482Z""","""2025-11-18T18:35:44.482Z"""
